Consulta,Iteración,Tiempo,Manager,Worker1,Worker2
12,475,615.176,0.00221323899841602,0.0421256732471745,0.04001408524047
12,524,616.232,0.00221387029813514,0.0420789670329932,0.0394465091125996
12,527,615.415,0.00221093515027918,0.0452914372118059,0.0393942109555013
12,602,616.942,0.00265056456985162,0.04192607657238,0.0385459075055461
12,625,613.266,0.00147083911896294,0.0415462229132302,0.0407723767636661
12,649,615.397,0.00219862327543591,0.0485996165738667,0.039424571007103
12,661,619.723,0.00134742680164216,0.037408286664495,0.0392608623608292
12,670,613.077,0.00310653691980337,0.0444213002916286,0.0400986519005707
12,677,612.067,0.00310141912499293,0.0410508048346456,0.0403926389680175
12,745,611.884,0.00106533952484454,0.0402816404799675,0.0376173859765015
12,761,613.093,0.00206300832195172,0.0401181676241007,0.0399498824509898
12,833,614.403,0.00459781166350165,0.0433742243033913,0.0363703266679647
12,857,616.817,0.00325451479075358,0.041017279244508,0.0373004742007886
12,861,618.43,0.00407525527012678,0.0455001322803423,0.0373813372250215
12,905,618.312,0.00201947593877718,0.0439258440718273,0.0410056990205045
12,917,618.346,0.00393430248165731,0.0416463522637005,0.0411047654637423
12,932,615.497,0.00462893780750449,0.0407322889144738,0.0393466495817085
12,944,613.766,0.0029857709072137,0.0412517793156425,0.0389309844870411
12,969,615.572,0.00293366518932495,0.0434241333721747,0.04092558727862
12,1042,610.238,0.000925169110430075,0.0387402536108945,0.0379862548623689
12,1080,616.411,0.00352566560790165,0.043542155669479,0.0410747252164687
12,1221,613.44,0.00151082132639615,0.0373078366248797,0.0426972250577807
13,60,447.736,0.00143550866279064,0.01721980287293,0.0176769008536598
13,66,449.896,0.00144243394624256,0.01730287587623,0.0161786768463368
13,120,444.622,0.00116617081558791,0.0191698001888363,0.0169673408861693
13,250,448.034,0.00116471446851739,0.019556275461448,0.0169228649780145
13,620,443.216,0.0027991562535324,0.0168526160498817,0.0138425291523933
