Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
16	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
16	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
16	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
16	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
16	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
16	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
16	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
16	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
17	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
17	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
17	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
17	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
17	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
17	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
17	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
17	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
17	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
17	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
18	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
18	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
18	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
18	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
18	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
18	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
18	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
18	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
18	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
18	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
19	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
19	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
19	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
19	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
19	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
19	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
19	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
19	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
19	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
19	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
20	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
20	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
20	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
20	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
20	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
20	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
20	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
20	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
20	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
20	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
21	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
21	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
21	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
21	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
21	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
21	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
21	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
21	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
21	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
21	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
