Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
4	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
4	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
4	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
4	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
4	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
4	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
5	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
5	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
5	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
5	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
5	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
5	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
5	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
5	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
5	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
5	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
